Codi d'Informació,Unitat,Adreça,Codi postal,Municipi,Codi municipi,Utm_x,Utm_y,Latitud,Longitud,Georeferència
17916,Policia Local d'Ulldecona,"C. Major, 49",43550,Ulldecona,431567,284109.5264598927,4497280.441356406,40.598111,0.44862,POINT (0.44862 40.598111)
17874,Policia Local de Sant Joan Despí,"Camí del Mig, 9-11",08970,Sant Joan Despí,82172,420969.4034924647,4580027.072222422,41.367878151,2.055027213,POINT (2.055027213 41.367878151)
20393,Policia Local de Vidreres,"C. Lloret, 63",17411,Vidreres,172137,481493.325,4626518.289,41.790333165,2.777264191,POINT (2.777264191 41.790333165)
17743,Policia Local de Bigues i Riells del Fai,"Av. de Prat de la Riba, 167",08415,Bigues i Riells del Fai,80235,434140.1489120918,4614425.595621555,41.678875882,2.208729192,POINT (2.208729192 41.678875882)
17925,Policia Local de Vilafranca del Penedès,"C. del Pati del Gall, 16",08720,Vilafranca del Penedès,83054,391490.6810623367,4578349.904292383,41.34934095,1.702923502,POINT (1.702923502 41.34934095)
17793,Policia Local d'Igualada,"Av. de  Pau Casals, 10 , (edifici 092)",08700,Igualada,81022,385710.9820224478,4603776.025567273,41.577514,1.629093,POINT (1.629093 41.577514)
17931,Policia Local de Vilassar de Mar,"Av. Progrés, 30",08340,Vilassar de Mar,82191,448292.6968224516,4595706.41021615,41.512441471,2.381511958,POINT (2.381511958 41.512441471)
17837,Policia Local del Prat de Llobregat,"C. del Riu Llobregat, 2-4",08820,El Prat de Llobregat,81691,423195.8369010515,4574485.9527382245,41.318194247,2.08237553,POINT (2.08237553 41.318194247)
17924,Policia Local de Viladecavalls,"C. de les Orenetes, s/n.",08232,Viladecavalls,83008,412753.3214505791,4600810.756785651,41.554207771,1.953797727,POINT (1.953797727 41.554207771)
17883,Policia Local de Santa Coloma de Cervelló,"C. de Pau Casals, 26-34",08690,Santa Coloma de Cervelló,82444,417711.55349961575,4580166.539157645,41.368851497,2.016036589,POINT (2.016036589 41.368851497)
17721,Policia Local d'Alella,"Pg. de Marià Estrada, 8",08328,Alella,80039,440971.25536040583,4594505.662906035,41.500000269,2.292755814,POINT (2.292755814 41.500000269)
17847,Policia Local de Roda de Berà,"C. de Joan Carles I, 19",43883,Roda de Berà,431310,370715.794,4560542.055,41.185923151,1.458445423,POINT (1.458445423 41.185923151)
17872,Policia Local de Sant Joan de les Abadesses,"Pl.   Major, 3",17860,Sant Joan de les Abadesses,171674,440993.7796442379,4675856.250863229,42.232660213,2.284907154,POINT (2.284907154 42.232660213)
17779,Policia Local de Dosrius,"C. de Sant Antoni, 1",08319,Dosrius,80752,450486.80233651784,4604946.886895016,41.594687813,2.405898167,POINT (2.405898167 41.594687813)
17782,Policia Local d'Esplugues de Llobregat,"C. Manuel de Falla, 22",08950,Esplugues de Llobregat,80771,422900.77945826255,4580814.0677882545,41.37627923,2.079169539,POINT (2.079169539 41.37627923)
17780,Policia Local de l'Escala,"C. del Garbí, s/n",17130,L'Escala,170622,511258.4073325093,4663170.695061203,42.120557441,3.136199544,POINT (3.136199544 42.120557441)
17801,Policia Local de Llinars del Vallès,"Av. de Pau Casals, 64",08450,Llinars del Vallès,81069,449613.10819593247,4609983.319332803,41.639995137,2.39499159,POINT (2.39499159 41.639995137)
17842,Policia Local de Ribes de Freser,"Pl. de l' Ajuntament, 3",17534,Ribes de Freser,171450,431304.00761719263,4683895.275848448,42.30607167,2.167724817,POINT (2.167724817 42.30607167)
17825,Policia Local de Palafolls,"C. Major, 11",08389,Palafolls,81555,479103.02108847845,4612905.304107931,41.668745936,2.750110747,POINT (2.750110747 41.668745936)
17771,Policia Local de Cervera,"Pl.   Major, 1, (Edifici de la Paeria)",25200,Cervera,250729,356057.07231699023,4614091.75256057,41.665585842,1.27098309,POINT (1.27098309 41.665585842)
17753,Policia Local de Caldes d'Estrac,"Pl. de la Vila, s/n",08393,Caldes d'Estrac,80327,460636.08794083225,4602425.454977852,41.572469,2.527853,POINT (2.527853 41.572469)
17783,Policia Local de Figueres,"Av. de Salvador Dalí Domènech, 107",17600,Figueres,170669,496860.6670965499,4678470.389025341,42.265369176,2.95812881,POINT (2.95812881 42.265369176)
17720,Policia Local d'Alcarràs,"C. de Joan XXIII, 23",25180,Alcarràs,250117,293744.3440153548,4604247.907097253,41.563312271,0.526453226,POINT (0.526453226 41.563312271)
17726,Policia Local d'Amposta,"C. de Barcelona, 66",43870,Amposta,430141,295604.5861232048,4508857.4930868205,40.705288113,0.580512918,POINT (0.580512918 40.705288113)
17761,Policia Local de Cardedeu,"Av. d' Àngel Guimerà, 126",08440,Cardedeu,80462,446651.1239241933,4610025.572872417,41.640211,2.359435,POINT (2.359435 41.640211)
17800,Policia Local de Lliçà de Vall,"Pl. de la Vila, s/n",08185,Lliçà de Vall,81081,436606.0633566035,4604095.639895554,41.58604,2.239457,POINT (2.239457 41.58604)
17817,Policia Local de Montgat,"C. de Lola Anglada, 4",08390,Montgat,81265,440175.193,4591486.684,41.472749975,2.28351825,POINT (2.28351825 41.472749975)
17905,Policia Municipal de Terrassa,"Av. de les Glòries Catalanes, 3",08223,Terrassa,82798,418941.2030479118,4601206.601448727,41.558423905,2.027934472,POINT (2.027934472 41.558423905)
17841,Guàrdia Urbana de Reus,"Av. de Marià Fortuny, 27",43204,Reus,431233,342036.4250744814,4557616.812382222,41.154520492,1.117284546,POINT (1.117284546 41.154520492)
17769,Policia Local de Cerdanyola del Vallès,"Pl. de Sant Medir, s/n",08290,Cerdanyola del Vallès,82665,427793.20527537423,4593628.770535148,41.491023401,2.134985754,POINT (2.134985754 41.491023401)
17835,Policia Local de Pineda de Mar,"C. de Sant Joan, 63",08397,Pineda de Mar,81635,474451.69149478397,4608769.279987369,41.630242965,2.693280598,POINT (2.693280598 41.630242965)
17742,Policia Local de Berga,"Pl. del Doctor Salo, 8",08600,Berga,80229,404644.3690997175,4661993.027171064,42.10423602,1.84673093,POINT (1.84673093 42.10423602)
17810,Policia Local de Mataró,"Pl. Granollers, 11",08303,Mataró,81213,452894.75036700146,4598923.458285789,41.540581004,2.435262064,POINT (2.435262064 41.540581004)
17755,Policia Local de Calonge i Sant Antoni,"Pl. de la Concòrdia, s/n",17251,Calonge i Sant Antoni,170340,506341.889,4634354.263,41.861072411,3.076410584,POINT (3.076410584 41.861072411)
17806,Policia Local de Martorell,"Av. de Joaquim de Barnola i de Bassols, 1, (Polígon Industrial La Torre)",08760,Martorell,81141,410173.61266671086,4592667.8787343,41.480588778,1.924084124,POINT (1.924084124 41.480588778)
17813,Policia Local de Mollerussa,"Pl. de l' Ajuntament, 2",25230,Mollerussa,251370,324572.42960429005,4610810.299363157,41.629739672,0.893981677,POINT (0.893981677 41.629739672)
17861,Policia Local de Sant Cebrià de Vallalta,"Av. del Maresme, 19",08396,Sant Cebrià de Vallalta,82037,466954.94752222655,4607668.866162926,41.620056126,2.603341276,POINT (2.603341276 41.620056126)
17831,Policia Local de Pals,"Pl. de Catalunya, s/n",17256,Pals,171241,512178.97185539803,4646313.481940536,41.968738252,3.146986374,POINT (3.146986374 41.968738252)
17719,Policia Local d'Alcanar,"C. de la Generalitat, 10",43530,Alcanar,430043,286739.31954641093,4491087.2708007535,40.54309023,0.481672197,POINT (0.481672197 40.54309023)
17914,Policia Local de Tossa de Mar,"Av. del Pelegrí, 14",17320,Tossa de Mar,172023,494089.61491805717,4618782.585509199,41.720821811,2.928943472,POINT (2.928943472 41.720821811)
17893,Policia Local de Santpedor,"Pl.   Gran, 1",08251,Santpedor,81923,403530.2720238549,4626362.3243815135,41.783249098,1.839094958,POINT (1.839094958 41.783249098)
