any;municipi;concepte;indicador;estat;valor
2020;Calaf;renda familiar disponible bruta;valor (milers €);p;53372
2020;Calaf;renda familiar disponible bruta;per habitant (€);p;14695
2020;Calaf;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;83,7
2020;Calafell;renda familiar disponible bruta;valor (milers €);p;397885
2020;Calafell;renda familiar disponible bruta;per habitant (€);p;14259
2020;Calafell;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;81,2
2020;Calders;renda familiar disponible bruta;valor (milers €);p;18907
2020;Calders;renda familiar disponible bruta;per habitant (€);p;18099
2020;Calders;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;103,1
2020;Caldes d'Estrac;renda familiar disponible bruta;valor (milers €);p;58671
2020;Caldes d'Estrac;renda familiar disponible bruta;per habitant (€);p;19381
2020;Caldes d'Estrac;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;110,4
2020;Caldes de Malavella;renda familiar disponible bruta;valor (milers €);p;127587
2020;Caldes de Malavella;renda familiar disponible bruta;per habitant (€);p;16344
2020;Caldes de Malavella;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;93,1
2020;Caldes de Montbui;renda familiar disponible bruta;valor (milers €);p;319263
2020;Caldes de Montbui;renda familiar disponible bruta;per habitant (€);p;17963
2020;Caldes de Montbui;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;102,3
2020;Calella;renda familiar disponible bruta;valor (milers €);p;271381
2020;Calella;renda familiar disponible bruta;per habitant (€);p;14241
2020;Calella;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;81,1
2020;Calldetenes;renda familiar disponible bruta;valor (milers €);p;44326
2020;Calldetenes;renda familiar disponible bruta;per habitant (€);p;17866
2020;Calldetenes;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;101,8
2020;Callús;renda familiar disponible bruta;valor (milers €);p;34264
2020;Callús;renda familiar disponible bruta;per habitant (€);p;16330
2020;Callús;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;93
2020;Calonge i Sant Antoni;renda familiar disponible bruta;valor (milers €);p;165890
2020;Calonge i Sant Antoni;renda familiar disponible bruta;per habitant (€);p;14749
2020;Calonge i Sant Antoni;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;84
2020;Camarles;renda familiar disponible bruta;valor (milers €);p;44213
2020;Camarles;renda familiar disponible bruta;per habitant (€);p;13775
2020;Camarles;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;78,5
2020;Cambrils;renda familiar disponible bruta;valor (milers €);p;532740
2020;Cambrils;renda familiar disponible bruta;per habitant (€);p;15158
2020;Cambrils;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;86,4
2020;Campdevànol;renda familiar disponible bruta;valor (milers €);p;58449
2020;Campdevànol;renda familiar disponible bruta;per habitant (€);p;18204
2020;Campdevànol;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;103,7
2020;Camprodon;renda familiar disponible bruta;valor (milers €);p;39401
2020;Camprodon;renda familiar disponible bruta;per habitant (€);p;16740
2020;Camprodon;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;95,4
2020;Canet de Mar;renda familiar disponible bruta;valor (milers €);p;244902
2020;Canet de Mar;renda familiar disponible bruta;per habitant (€);p;16679
2020;Canet de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;95
2020;Canonja, la;renda familiar disponible bruta;valor (milers €);p;84428
2020;Canonja, la;renda familiar disponible bruta;per habitant (€);p;14113
2020;Canonja, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;80,4
2020;Canovelles;renda familiar disponible bruta;valor (milers €);p;244148
2020;Canovelles;renda familiar disponible bruta;per habitant (€);p;14514
2020;Canovelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;82,7
2020;Cànoves i Samalús;renda familiar disponible bruta;valor (milers €);p;57605
2020;Cànoves i Samalús;renda familiar disponible bruta;per habitant (€);p;18103
2020;Cànoves i Samalús;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;103,1
2020;Canyelles;renda familiar disponible bruta;valor (milers €);p;84728
2020;Canyelles;renda familiar disponible bruta;per habitant (€);p;17954
2020;Canyelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;102,3
2020;Capellades;renda familiar disponible bruta;valor (milers €);p;87863
2020;Capellades;renda familiar disponible bruta;per habitant (€);p;16466
2020;Capellades;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;93,8
2020;Cardedeu;renda familiar disponible bruta;valor (milers €);p;330272
2020;Cardedeu;renda familiar disponible bruta;per habitant (€);p;17867
2020;Cardedeu;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;101,8
2020;Cardona;renda familiar disponible bruta;valor (milers €);p;76851
2020;Cardona;renda familiar disponible bruta;per habitant (€);p;16770
2020;Cardona;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;95,5
2020;Cassà de la Selva;renda familiar disponible bruta;valor (milers €);p;172125
2020;Cassà de la Selva;renda familiar disponible bruta;per habitant (€);p;16914
2020;Cassà de la Selva;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;96,4
2020;Casserres;renda familiar disponible bruta;valor (milers €);p;26735
2020;Casserres;renda familiar disponible bruta;per habitant (€);p;16615
2020;Casserres;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;94,7
2020;Castell d'Aro, Platja d'Aro i s'Agaró;renda familiar disponible bruta;valor (milers €);p;149817
2020;Castell d'Aro, Platja d'Aro i s'Agaró;renda familiar disponible bruta;per habitant (€);p;13516
2020;Castell d'Aro, Platja d'Aro i s'Agaró;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;77
2020;Castellar del Vallès;renda familiar disponible bruta;valor (milers €);p;457720
2020;Castellar del Vallès;renda familiar disponible bruta;per habitant (€);p;18629
2020;Castellar del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;106,1
2020;Castellbell i el Vilar;renda familiar disponible bruta;valor (milers €);p;60826
2020;Castellbell i el Vilar;renda familiar disponible bruta;per habitant (€);p;16183
2020;Castellbell i el Vilar;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;92,2
2020;Castellbisbal;renda familiar disponible bruta;valor (milers €);p;226716
2020;Castellbisbal;renda familiar disponible bruta;per habitant (€);p;18032
2020;Castellbisbal;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;102,7
2020;Castelldefels;renda familiar disponible bruta;valor (milers €);p;1378174
2020;Castelldefels;renda familiar disponible bruta;per habitant (€);p;20597
2020;Castelldefels;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;117,3
2020;Castellet i la Gornal;renda familiar disponible bruta;valor (milers €);p;40078
2020;Castellet i la Gornal;renda familiar disponible bruta;per habitant (€);p;16544
2020;Castellet i la Gornal;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;94,2
2020;Castellgalí;renda familiar disponible bruta;valor (milers €);p;36318
2020;Castellgalí;renda familiar disponible bruta;per habitant (€);p;17023
2020;Castellgalí;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;97
2020;Castellnou de Bages;renda familiar disponible bruta;valor (milers €);p;25797
2020;Castellnou de Bages;renda familiar disponible bruta;per habitant (€);p;18191
2020;Castellnou de Bages;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;103,6
2020;Castelló d'Empúries;renda familiar disponible bruta;valor (milers €);p;133980
2020;Castelló d'Empúries;renda familiar disponible bruta;per habitant (€);p;12325
2020;Castelló d'Empúries;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;70,2
2020;Castellterçol;renda familiar disponible bruta;valor (milers €);p;43894
2020;Castellterçol;renda familiar disponible bruta;per habitant (€);p;17100
2020;Castellterçol;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;97,4
2020;Castellvell del Camp;renda familiar disponible bruta;valor (milers €);p;58247
2020;Castellvell del Camp;renda familiar disponible bruta;per habitant (€);p;20290
2020;Castellvell del Camp;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;115,6
2020;Castellví de la Marca;renda familiar disponible bruta;valor (milers €);p;26192
2020;Castellví de la Marca;renda familiar disponible bruta;per habitant (€);p;16476
2020;Castellví de la Marca;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;93,9
2020;Castellví de Rosanes;renda familiar disponible bruta;valor (milers €);p;39234
2020;Castellví de Rosanes;renda familiar disponible bruta;per habitant (€);p;20100
2020;Castellví de Rosanes;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;114,5
2020;Catllar, el;renda familiar disponible bruta;valor (milers €);p;86988
2020;Catllar, el;renda familiar disponible bruta;per habitant (€);p;18594
2020;Catllar, el;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;105,9
2020;Cellera de Ter, la;renda familiar disponible bruta;valor (milers €);p;32223
2020;Cellera de Ter, la;renda familiar disponible bruta;per habitant (€);p;16754
2020;Cellera de Ter, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;95,4
2020;Celrà;renda familiar disponible bruta;valor (milers €);p;86045
2020;Celrà;renda familiar disponible bruta;per habitant (€);p;15836
2020;Celrà;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;90,2
2020;Centelles;renda familiar disponible bruta;valor (milers €);p;130338
2020;Centelles;renda familiar disponible bruta;per habitant (€);p;17445
2020;Centelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);p;99,4
